Name,Title,Description,Price,Stock,SEO Title,SEO Description,SEO Keywords
ACID VISION,Визионерское Видение.,"Хотелось создать что-то совсем абстрактное и отстраненное. Обычное, так сказать, визионерское видение. Но как визионерское может быть обычным?! В итоге получилась такая композиция, абстрактная на первый взгляд. И изобилующая множеством сакральных символов и живой природы, если приглядеться. Однако, вот оно такое - Взионерское Видение. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в MOSCOW; в наличии S(110x75) 2 шт в CHUVASHIA и 1 шт в SAINT PITER; в наличии XS(75x50) 2 шт в CHUVASHIA.,"Флуоресцентное полотно ""Визионерское Видение."" — ANAHART","Хотелось создать что-то совсем абстрактное и отстраненное. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Видение, Визионерское, абстрактная, абстрактное, активно, без, безопасно, быть, вешать, взгляд, взионерское, видение, визионерское, внтури, воздухе, вот, выдерживают, высокое, выставки, даже, детализации, для, днём, если, живой, запах"
KALI BHAIRAV MANDALA,Кали Бхайрава Мандала.,"Кали Бхайрава Мандала. Мандала Времени. Серьезные древние элементы в практически детском играючем стиле.<br><br> Приятный на ощупь синтетический шелк, легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(1.5x1.5) 1 шт в MOSCOW; в наличии S(75x75) 1 шт в CHUVASHIA и 1 шт в MOSCOW; в наличии XS(50x50) 1 шт в CHUVASHIA и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Кали Бхайрава Мандала."" — ANAHART","Кали Бхайрава Мандала. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Бхайрава, Кали, Мандала, активно, без, безопасно, бхайрава, вешать, внтури, воздухе, времени, выдерживают, высокое, выставки, даже, детализации, детском, для, днём, древние, запаха, играючем, как, кали, качество, легкий, любые, мандал"
LIBERTY CAP,Шляпа Свободы.,"Шляпа Свободы. Сознание, мечты фантазии и реальность бытия - все переплелось в этой композиции. В голове нашего героя мы видим тропические пальмы, океанскую волну, в то время как сам он находится в северном лесу на густо покрытой мхом поляне. Кстати, это полотно перевертыш. Его МОЖНО вешать и наоборот. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии XXL(4.5x3) 1 шт в CHUVASHIA; в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA; в наличии S(110x75) 1 шт в CHUVASHIA; в наличии XS(75x50) 1 шт в SAINT PITER и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Шляпа Свободы."" — ANAHART","Шляпа Свободы. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Свободы, Шляпа, активно, без, безопасно, бытия, вешать, видим, внтури, воздухе, волну, время, все, выдерживают, высокое, выставки, героя, голове, густо, даже, детализации, для, днём, его, запаха, изготовлено, как, качество, композиции"
OWLS GORIZONT,Совы Горизонтальные.,"Совы Горизонтальные. Название рабочее стало в итоге личным. Хит. Уже более 10 лет неизменный хит с мистическими совами в северном лесу в горизонтальном исполнении. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 2 шт в CHUVASHIA; в наличии S(110x75) 2 шт в CHUVASHIA и 2 шт в SAINT PITER; в наличии XS(75x50) 2 шт в CHUVASHIA и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Совы Горизонтальные."" — ANAHART","Совы Горизонтальные. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Горизонтальные, Совы, активно, без, безопасно, более, вешать, внтури, воздухе, выдерживают, высокое, выставки, горизонтальном, горизонтальные, даже, детализации, для, днём, запаха, изготовлено, исполнении, итоге, как, качество, легкий"
VERTICAL OWLS,Вертикальные Совы.,"Тот же хит с совами но в вертикальном исполнении, для целей, где нужны длиннные высокие полотна или вертикальные декорации. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии XXL(4.5x3) 1 шт в CHUVASHIA; в наличии L(2.3x1.5) 1 шт в CHUVASHIA и 1 шт в MOSCOW; в наличии S(110x75) 2 шт в CHUVASHIA и 1 шт в MOSCOW; в наличии XS(75x50) 4 шт в CHUVASHIA и 1 шт в SAINT PITER и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Вертикальные Совы."" — ANAHART","Тот же хит с совами но в вертикальном исполнении, для целей, где нужны длиннные высокие полотна или вертикальные декорации. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Вертикальные, Совы, активно, без, безопасно, вертикальном, вертикальные, вешать, внтури, воздухе, выдерживают, высокие, высокое, выставки, где, даже, декорации, детализации, длиннные, для, днём, запаха, изготовлено, или, исполнении, к"
DREAMCATCHERS,Совы Ловцы Снов.,"Еще одна композиция с совами. У одного psytrance лэйбла был заказ на хитовых сов, и им хотелось побольше арта в том же стиле, поэтому был создан этот эскиз, на основе которого также разрабатывалась обложка и футболки с люминесцентными принтами для известного чиллаут хип-хоп проекта в России. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии XXL(4.5x3) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA; в наличии S(110x75) 2 шт в CHUVASHIA; в наличии XS(75x50) 2 шт в CHUVASHIA.,"Флуоресцентное полотно ""Совы Ловцы Снов."" — ANAHART","Еще одна композиция с совами. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, psytrance, rgb, Ловцы, Снов, Совы, активно, арта, без, безопасно, был, вешать, внтури, воздухе, выдерживают, высокое, выставки, даже, детализации, для, днём, еще, заказ, запаха, известного, изготовлено, как, качество, композиция, которого,"
FENIX,Сказочный Феникс.,"Сказочная Птица Феникс. Символ Надежды на Вечное Возрождение. И мы как Он же, то сгораем до тла, то снова воскресаем, и каждый раз с новыми силами. Ведь этот сайт - одно из крыльев нашей Птицы Счастья. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в MOSCOW; в наличии S(110x75) 2 шт в CHUVASHIA и 1 шт в SAINT PITER и 1 шт в MOSCOW; в наличии XS(75x50) 2 шт в CHUVASHIA.,"Флуоресцентное полотно ""Сказочный Феникс."" — ANAHART","Сказочная Птица Феникс. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Сказочный, Феникс, активно, без, безопасно, ведь, вечное, вешать, внтури, воздухе, возрождение, воскресаем, выдерживают, высокое, выставки, даже, детализации, для, днём, запаха, изготовлено, каждый, как, качество, крыльев, легкий, люб"
DRAGON TALES,Сказки Драконов.,"Драконьи сказки ли рептилоидные. Поживем, увидим. Однако на этой композиции намеренно смешаны древность и высокая культура с современным фастфудным поп-артом. Это отражение времени и подмены понятий.<br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA; в наличии S(110x75) 3 шт в CHUVASHIA и 1 шт в MOSCOW; в наличии XS(75x50) 4 шт в CHUVASHIA и 1 шт в SAINT PITER.,"Флуоресцентное полотно ""Сказки Драконов."" — ANAHART","Драконьи сказки ли рептилоидные. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Драконов, Сказки, активно, артом, без, безопасно, вешать, внтури, воздухе, времени, выдерживают, высокая, высокое, выставки, даже, детализации, для, днём, драконьи, древность, запаха, изготовлено, как, качество, композиции, культура, "
DARK FOR REST,Тёмный Лес.,"Темный лес. Или спокойствие в тишине. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в MOSCOW; в наличии M(1.5x1) 2 шт в MOSCOW; в наличии S(110x75) 2 шт в CHUVASHIA и 1 шт в SAINT PITER и 1 шт в MOSCOW; в наличии XS(75x50) 5 шт в CHUVASHIA.,"Флуоресцентное полотно ""Тёмный Лес."" — ANAHART","Темный лес. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Лес, Тёмный, активно, без, безопасно, вешать, внтури, воздухе, выдерживают, высокое, выставки, даже, детализации, для, днём, запаха, изготовлено, или, как, качество, легкий, лес, любые, материал, можно, насыщенными, неоне, открытом, о"
TEA MASTER,Чайный Мастер.,"Чайная Церемония в исполнении мистических мастеров, знающих толк в традициях и качестве. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии XXL(4.5x3) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA и 1 шт в SAINT PITER; в наличии S(110x75) 2 шт в CHUVASHIA и 1 шт в SAINT PITER; в наличии XS(75x50) 3 шт в CHUVASHIA и 1 шт в SAINT PITER.,"Флуоресцентное полотно ""Чайный Мастер."" — ANAHART","Чайная Церемония в исполнении мистических мастеров, знающих толк в традициях и качестве. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Мастер, Чайный, активно, без, безопасно, вешать, внтури, воздухе, выдерживают, высокое, выставки, даже, детализации, для, днём, запаха, знающих, изготовлено, исполнении, как, качестве, качество, легкий, любые, мастеров, материал, мист"
ALCHEMY,Трилогия Алхимия. Полная версия.,"Трилогия Алхимия. Алхимия Цвета и Света, Дня и Ночи, Огня и Воды, Севера и Юга, Черного и Белого, Темного и Светлого. И так далее. И все это пересекается в руках Архитектора, Творца, Создателя этой сцены. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA; в наличии S(110x75) 2 шт в CHUVASHIA; в наличии XS(75x50) 2 шт в CHUVASHIA и 1 шт в SAINT PITER.,"Флуоресцентное полотно ""Трилогия Алхимия. Полная версия."" — ANAHART","Трилогия Алхимия. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Алхимия, Полная, Трилогия, активно, алхимия, архитектора, без, безопасно, белого, версия, вешать, внтури, воды, воздухе, все, выдерживают, высокое, выставки, даже, далее, детализации, для, дня, днём, запаха, изготовлено, как, качество"
FIRE,Трилогия. Дух Огня. Часть первая.,"Трилогия. Дух Огня. Часть первая. Здесь изображен монах у Огня в Ночи в Северном Лесу. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии XXL(3x3) 1 шт в CHUVASHIA; в наличии XL(2.5x2.5) 1 шт в CHUVASHIA; в наличии L(1.5x1.5) 1 шт в CHUVASHIA; в наличии S(75x75) 1 шт в CHUVASHIA; в наличии XS(50x50) 5 шт в CHUVASHIA.,"Флуоресцентное полотно ""Трилогия. Дух Огня. Часть первая."" — ANAHART","Трилогия. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Дух, Огня, Трилогия, Часть, активно, без, безопасно, вешать, внтури, воздухе, выдерживают, высокое, выставки, даже, детализации, для, днём, дух, запаха, здесь, изготовлено, изображен, как, качество, легкий, лесу, любые, материал, можн"
ARCHITECT,Трилогия. Архитектор. Часть вторая.,"Трилогия. Архитектор. Часть вторая. Здесь изображены инструменты, силы, рычаги Творца-Создателя, Архитектора-Механика Мира, Его внутреннее устройство, можно сказать Лес Высшего Сознания. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии XL(2.5x2.5) 1 шт в CHUVASHIA; в наличии L(1.5x1.5) 1 шт в MOSCOW; в наличии M(1x1) 2 шт в CHUVASHIA; в наличии S(75x75) 1 шт в CHUVASHIA; в наличии XS(50x50) 5 шт в CHUVASHIA.,"Флуоресцентное полотно ""Трилогия. Архитектор. Часть вторая."" — ANAHART","Трилогия. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Архитектор, Трилогия, Часть, активно, архитектор, архитектора, без, безопасно, вешать, внтури, внутреннее, воздухе, вторая, выдерживают, высокое, выставки, высшего, даже, детализации, для, днём, его, запаха, здесь, изготовлено, изобра"
